id,date,year,listing_comment_count,listing_activity,comments_clean
921857668564640620,2023-06-25,2023,3,Low,I loved this place its so cute! It's in a great location and we had a really peaceful stay. It's also very tidy and the bed was comfortable as well. Our host Linda gave us great restaurant recommendations and was available for any questions we had. Amazing value for the price and I'll definitely stay here again when I'm in town!
947263735640557372,2023-07-30,2023,2,Low,"Very nice place to be at and the room is very spacious with a lot of necessities like air fryer, microwave, coffee machine, laundry machine, tv, etc<br/>Also, the hosts were very friendly!"
882668101513003213,2023-05-02,2023,1,Low,Good place
938575523248390124,2023-07-18,2023,3,Low,"We stayed at this lovely property during a home remodel and really enjoyed it. The condo is modern and clean, and has everything you need for a long stay, including 2 comfy queen beds. Nice balcony overlooking the pool. Garage parking was convenient and the location cannot be beat, a short walk to TJs & Vons, CVS, restaurants and the green belt. Host was super responsive and we definitely recommend this condo to all of our out-of-town friends and visitors."
817550548713643193,2023-02-01,2023,3,Low,"If she had given a heads-up about missing amenities (Fridge, and bed) it would have been a better experience. Parking is a mess. We had to spend $600 extra to find new accommodation. Air BnB did a good job in the end, but it was a very unpleasant experience. We are suspicious of all the positive reviews. Buyer beware."
840728134217971252,2023-03-05,2023,3,Low,"mi estancia fue increíble, Adriana es una persona muy linda super atenta a todo lo que necesitaba, me ayudo muchísimo en mi estancia, su casa tiene una linda vista y pasar estos días ahí fue de lo mejor ... definitivamente volveré"
890731116679505345,2023-05-13,2023,3,Low,Mark was always quick to respond an overall great guy.
1027715548995078547,2023-11-18,2023,1,Low,"As a first-time AirBnB guest, I was fairly apprehensive about the experience. But my daughters were well versed in the process and guided me through. What I didn't expect was the warmth and caring of the hostess, Sonya, of my every need. What a charming guest house she has with gardens and greenery at every turn! Beautiful, walkable Hollywood neighborhood for a single woman. I was a guest for 38 days and will return to stay in the near future. It felt like a home, not merely a place to put down my head at the end of a long day of business. Brava, Sonya!!"
1016126420074147310,2023-11-02,2023,3,Low,"Thank you so much for your help, you’re a true angel! Looking forward to seeing you next time 🙏🏾"
816766435142519675,2023-01-31,2023,1,Low,"Yosi was a kind and accommodating host. We booked an extensive stay due to major<br/>repairs that were being done to our house. Yosi checked in with us via Nextdoor and was quick to respond when we needed assistance. He really did go out of his way to make his home feel like our home. We were so happy to find a place that would accommodate our pets so our family could be together. Yosi alleviated a lot of the stress we were experiencing due to our house. The hot tub helped too!<br/>FYI, the best al pastor tacos in the valley are on Mason and Sherman Way “Las Palomas”. Thank you Yosi!"
992913594852015312,2023-10-01,2023,11,Medium,"The place was exceptional and exactly as described. The outdoor balcony, particularly when the weather is nice, is such a nice little treat to have in Santa Monica. The hosts were responsive, kind, and accommodating. I will definitely be staying there again!"
894349565887272135,2023-05-18,2023,7,Medium,"Such a great stay.<br/>Hosts were extremely accommodating.<br/>The area is my favourite. So many great restaurants/bars, and very easy to get around by car.<br/>Very clean and cozy space, and beautiful terrace with a beautiful view.<br/>Hope to stay here again!"
810322305199570896,2023-01-22,2023,4,Medium,"Highly recommend place to stay or for long term rental. Pretty house with cool design inside and a lot of arts. I had such a pleasure to live there for 2 month. Chris very hospitable, friendly and intelligent interesting person to talk and helpful no matter how he is busy with his work. Big sunny backyard. Safe area. Easy parking. Quiet place. Kitchen and bathroom have everything and more that you need, that’s why I was feeling like home❤️"
805869532153004839,2023-01-16,2023,11,Medium,This condo is in a great location and was perfect for our stay. Paul was extremely helpful and had anything we needed written out for us prior to arrival. Someone met us at the gate and checking in was easy! Loved it and thank you so much Paul!!
860303244483760548,2023-04-01,2023,6,Medium,Whitney was great. Anything needing addressing she did so quickly. Thanks for everything!
903758349435481712,2023-05-31,2023,5,Medium,Thank you to Giovanni for your service and your hospitality. This place is very very good. We spent 8 months there and it was perfect. Thank you again Giovanni and maybe see you one day :)
1058914177306275840,2023-12-31,2023,11,Medium,Tina was an incredible host!! Her home was beautiful - just like the pictures. We felt right at home while we stayed. Would recommend to anyone!
